X,Y,OBJECTID,NAME,ADDRESS,DESCRIPTION,WEBSITE,PHONE,SERVICES_PROVIDED,REGION
51.345942,-2.9634121,1,Weston Bicycle Works,"143 Locking Road, Weston-super-Mare, BS23 3ER",A community enterprise selling quality refurbished bikes and welcome bike donations.,https://westonbicycleworks178138398.wordpress.com,01934 629989,"Secondhand bikes,Bike servicing,Donate a bike",North Somerset
51.377583,-2.3578363,2,Avon Valley Cyclery,"Brunel Square, Bath, BA1 1SX","An independent bike shop in the centre of the Georgian city of Bath, established for over 30 years.",http://www.avonvalleycyclery.co.uk/,01225 442 442,New bikes,Bath
51.384626,-2.3599893,3,Total Fitness Bath,"3 Saracen Street, Bath, BA1 5BR","Road, cycleways, triathlon, mountain biking, leisure riding, commuting or kids bikes.",http://www.totalfitnessbath.co.uk/,01225 444164,"New bikes,Bike servicing",Bath
51.470314,-2.6155468,5,Blackboy Hill Cycles,"180 Whiteladies Road, Clifton, Bristol, BS8 2XU","From off the shelf to custom build, mountain bike to racers.",https://black-boy-cycles.co.uk/,0117 973 1420,"New bikes,Bike hire",Bristol
51.456741,-2.597215,6,Bike Workshop Ltd,"88 Colston Street, Bristol, BS1 5BB",From refurbished bikes to the newest bikes on the market.,http://www.bikeworkshop.co.uk/,0117 926 8961,"New bikes,Secondhand bikes,Bike servicing",Bristol
51.451292,-2.5776009,7,Bristol Cycle Shack,"25 Oxford Street, Temple Quay, Bristol, BS2 0QT","Bicycle, cycle, bike, sales, hire, repairs and service.",https://bristolcycleshack.co.uk/,0117 955 1017,"New bikes,Bike servicing,Bike hire",Bristol
51.535299,-2.5478972,11,Giant Store Bristol,"The Willow Brook Centre, Bradley Stoke, Bristol, BS32 8EF",Giant Store Bristol is a Giant bike shop located north of Bristol at Bradley Stoke in South Gloucestershire selling Giant bikes and accessories.,http://www.giant-bristol.co.uk/gb,01454 620 771,"New bikes,Bike servicing",South Gloucestershire
51.450936,-2.6071265,12,Atmosphere Electric Bikes ltd,"137 St Georges Road, Bristol, BS1 5UW",Atmosphere Electric Bikes are a specialist electric bike shop in Bristol. We have the most comprehensive selection of electric bikes within the UK.,http://www.electricbikes.org.uk/,0117 908 7153,"New bikes,Bike servicing,E-Bikes",Bristol
51.457152,-2.5942986,13,Evans Cycles Bristol,"Lewins Mead, Bristol, BS1 2PY","Whether you are new to cycling or a seasoned veteran, you are sure to find everything you need at this Bristol store, along with great service and expertise.",http://www.evanscycles.com/store/bristol,0117 927 7639,"New bikes,Bike servicing,E-Bikes",Bristol
51.381305,-2.3667741,14,Green Park Bike Station,"Green Park Bike Station, Green Park Station, Green Park road, Bath, BA1 1JB","A small, friendly, independent bike shop in the centre of Bath. In our workshop we offer a range of servicing choices.",https://www.greenparkbikestation.info/,01225 920 148,"New bikes,Bike servicing,Bike hire",Bath
